estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
48,9,32,"(80000,)","(64,)",2500,9.79004037552521e-06,816.7251097338859,"Launch_Tax, Latencies, L1_BW"
49,9,32,"(80000,)","(128,)",2500,9.79004037552521e-06,816.7251097338859,"Launch_Tax, Latencies, L1_BW"
50,9,32,"(80000,)","(256,)",2500,9.79004037552521e-06,816.7251097338859,"Launch_Tax, Latencies, L1_BW"
51,9,32,"(80000,)","(512,)",2500,9.79004037552521e-06,816.7251097338859,"Launch_Tax, Latencies, L1_BW"
52,9,16,"(80000,)","(16,)",5000,1.3348863904936976e-05,598.9851913197516,"Latencies, L1_BW"
53,9,16,"(80000,)","(32,)",5000,1.3348863904936976e-05,598.9851913197516,"Latencies, L1_BW"
54,9,16,"(80000,)","(64,)",5000,1.3348863904936976e-05,598.9851913197516,"Latencies, L1_BW"
55,9,16,"(80000,)","(128,)",5000,1.3348863904936976e-05,598.9851913197516,"Latencies, L1_BW"
56,9,16,"(80000,)","(256,)",5000,1.3348863904936976e-05,598.9851913197516,"Latencies, L1_BW"
57,9,16,"(80000,)","(512,)",5000,1.3461879368083868e-05,593.9565777833961,"Latencies, L1_BW"
58,9,32,"(80000,)","(16,)",5000,1.3963021647058825e-05,572.6390749873422,"Latencies, Compute"
59,9,32,"(80000,)","(32,)",2500,9.79004037552521e-06,816.7251097338859,"Launch_Tax, Latencies, L1_BW"
60,9,32,"(80000,)","(64,)",2500,9.79004037552521e-06,816.7251097338859,"Launch_Tax, Latencies, L1_BW"
61,9,32,"(80000,)","(128,)",2500,9.79004037552521e-06,816.7251097338859,"Launch_Tax, Latencies, L1_BW"
62,9,32,"(80000,)","(256,)",2500,9.79004037552521e-06,816.7251097338859,"Launch_Tax, Latencies, L1_BW"
63,9,32,"(80000,)","(512,)",2500,9.79004037552521e-06,816.7251097338859,"Launch_Tax, Latencies, L1_BW"
